"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"88","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"89","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"90","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"91","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"92","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"93","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"94","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"95","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"96","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"97","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"98","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"99","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"100","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"101","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"102","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"103","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"104","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"105","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
